filename,node_count,edge_count
0x230c6d74f37aee924843747875c7a4020247ce3fb31dcfdd403e95971229da44.json,805,690
0xc12a4155c2c90707138e4aef8883c8f724371145823e2f661f19b93e5b3a9d6e.json,814,771
0xb3f067618ce54bc26a960b660cfc28f9ea0315e2e9a1a855ede1508eb4017376.json,991,847
0x90eef27416e85fb1c6acaded14588f1cc244d0ba7b6858f010957ced32d87e6d.json,4268,3526
0xe1271d241d3bc7ad65e763f30a8a864febd81ae4f69213a23cfec290da652a06.json,696,648
0x4be506a04a8e8154df53f11bbe2e7f07a1db663dcad16e355307592e9bf22f8f.json,472,455
0x17c18b25ce5c56f54f9b7b2f537c38353b16073f992c2aa2bec6db7854c5b565.json,1144,1072
0xbc3a266980059dbf5cfb1439bf1203bb9aca2de3cc35e08d2e80e4e0c0d38647.json,1902,1507
0xa8289dbe3e49e9c5decaabd3777d9ad60a7b06863539b4948dd17e58a65f3e15.json,4610,4024
0x16a0c880979a87a894e942cec62bc736ffed4d500b0fef46fe4558f31c90a5f4.json,1441,1239
0x961f42e3a9986fb1ab15f2bc36434cb9e0d6739bf331cf83385c18204e895a89.json,797,703
0x62d862e89b6858b19deaea39fb66f7ef47b845d293131e4fc17cbce21ca6043a.json,1030,759
0x9ac08d865feefeb644d34533fe59fbf144e55fa2def302ede1e966a6b8ab025a.json,4610,4024
0x5ae6b010ff183ae826fc59d1d6e6cfdc0dda52448615c7f59f0a52908bc6da31.json,1032,761
0xd1e140833640d009decbdc6ec3e6bb4e6f1fea57876b78cd6146814b103b2210.json,616,573
0x4e74c092c3e01a4b9f51c7d3ac214ce6d231bac1ccf17d5514625740870f81a2.json,4268,3526
0xe6e99fb5e048462e95d47fa0a8a6d29476989b8364a5a112b1ea0f469851d713.json,830,686
0x8739ac3eca8aa859b313e3471b1d2550ad43592afd4fd7c64bac6dd6b9992b0e.json,3248,2589
0xc2eb1f7d462fdf60db0e75fb7cf0a347437df419620a7c47e0ed15800e30a976.json,938,820
0x9d98877a933c08edb7bb8d8167d2b931631bb30a9c6a5cf28d1cb5deea541fe6.json,7308,6326
